date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
05 01 18,468.57,468.74,468.55,468.64,78 681 643.68,4 639 370 194 910,1 790,7.33
09 01 18,468.93,469.38,467.73,469.35,23 624 189 439.2,4 646 355 428 600,1 786,7.31
10 01 18,469.48,470.53,469.48,470.29,18 664 580 031.3,4 655 664 501 210,1 787,7.27
11 01 18,470.23,470.23,469.39,469.43,8 573 413 153.1,4 647 179 778 940,1 785,7.31
12 01 18,469.48,470.03,469.46,470.03,21 972 340 790.8,4 653 087 443 050,1 785,7.29
15 01 18,470.27,471.24,470.27,471.10,17 020 054 739.1,4 663 691 674 940,1 783,7.25
16 01 18,471.22,471.22,470.86,470.86,11 566 443 311.9,4 661 357 657 580,1 782,7.27
17 01 18,470.91,470.96,470.17,470.23,21 067 376 737.8,4 655 076 790 480,1 780,7.30
18 01 18,470.40,470.73,470.28,470.66,28 030 307 837.9,4 659 343 732 210,1 780,7.29
19 01 18,470.86,471.05,470.79,470.96,10 287 425 573.1,4 662 343 127 540,1 779,7.28
22 01 18,471.46,471.46,470.94,471.34,4 187 701 053.26,4 666 103 361 370,1 776,7.27
23 01 18,471.43,471.57,471.19,471.25,13 864 924 614.5,4 665 220 143 690,1 775,7.28
24 01 18,471.32,472.17,471.30,471.84,25 645 030 475.5,4 671 104 452 320,1 776,7.26
25 01 18,471.91,473.17,471.90,472.24,27 634 632 633.5,4 669 391 824 300,1 777,7.24
26 01 18,472.35,472.35,471.66,471.68,13 275 794 725.4,4 663 850 486 620,1 775,7.27
29 01 18,472.11,472.17,471.48,471.50,9 442 517 822.09,4 662 021 760 600,1 771,7.29
30 01 18,471.50,473.12,471.38,473.12,51 321 319 204.9,4 678 067 317 630,1 774,7.22
31 01 18,473.59,474.77,473.28,474.72,39 838 073 531.5,4 693 859 313 930,1 785,7.16
01 02 18,474.92,475.48,474.92,475.21,38 074 845 632.1,4 680 789 077 810,1 786,7.14
02 02 18,475.17,475.86,475.11,475.75,33 595 311 475,4 686 079 468 520,1 786,7.12
