BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,06.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1748,57","1753,75","1758,76","1738,84","15863769598,00"
SNDX,IMOEX,11.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1682,54","1748,04","1748,06","1681,58","31299887238,00"
SNDX,IMOEX,12.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1690,30","1682,72","1705,23","1660,15","32959612040,00"
SNDX,IMOEX,13.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1684,78","1692,48","1709,08","1682,30","27040723765,00"
SNDX,IMOEX,14.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1680,77","1684,77","1685,63","1658,80","31609765726,00"
SNDX,IMOEX,15.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1608,36","1680,81","1686,85","1597,62","50283185458,00"
SNDX,IMOEX,18.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1622,43","1607,88","1631,58","1583,02","32366912468,00"
SNDX,IMOEX,19.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1645,56","1622,53","1675,01","1622,53","37157904981,00"
SNDX,IMOEX,20.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1630,39","1641,62","1641,62","1601,64","39821132337,00"
SNDX,IMOEX,21.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1677,19","1630,57","1684,08","1630,17","43326301552,00"
SNDX,IMOEX,22.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1717,98","1683,75","1730,24","1682,89","60488647098,00"
SNDX,IMOEX,25.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1716,56","1718,25","1726,96","1700,35","34894234976,00"
SNDX,IMOEX,26.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1705,01","1716,86","1719,09","1695,66","34002423384,00"
SNDX,IMOEX,27.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1747,57","1705,10","1747,57","1705,10","37416392162,00"
SNDX,IMOEX,28.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1771,93","1747,63","1771,93","1739,80","49890474263,00"
SNDX,IMOEX,29.01.2016,Индекс МосБиржи,Индекс МосБиржи,"1784,92","1772,01","1788,29","1758,60","51457275614,00"
SNDX,IMOEX,01.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1773,21","1785,01","1785,08","1760,22","31043356045,00"
SNDX,IMOEX,02.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1758,26","1771,37","1785,75","1749,87","38671518377,00"
SNDX,IMOEX,03.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1746,35","1757,90","1766,28","1744,73","31399278725,00"
SNDX,IMOEX,04.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1787,93","1745,21","1792,48","1745,21","44900362749,00"
SNDX,IMOEX,05.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1780,59","1786,70","1796,48","1772,26","28320335549,00"
SNDX,IMOEX,08.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1744,27","1780,26","1784,56","1737,02","33814129704,00"
SNDX,IMOEX,09.02.2016,Индекс МосБиржи,Индекс МосБиржи,"1723,36","1744,17","1752,95","1715,00","37373681578,00"
